600348 华阳股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/09/02	2.57	3.03	2.53	2.91	54502316	360833664.00
2015/09/07	2.88	3.06	2.65	2.71	32724788	218963872.00
2015/09/08	2.67	2.99	2.65	2.97	24506173	163129184.00
2015/09/09	2.98	3.11	2.93	3.07	28820658	199593408.00
2015/09/10	2.94	3.17	2.91	2.97	24519190	170650304.00
2015/09/11	2.97	3.05	2.79	2.88	17863163	120436088.00
2015/09/14	2.89	2.92	2.43	2.46	24658256	156341424.00
2015/09/15	2.40	2.59	2.34	2.45	20940624	127540320.00
2015/09/16	2.47	2.85	2.43	2.78	19298014	121389792.00
2015/09/17	2.74	2.86	2.61	2.63	19292664	126612512.00
2015/09/18	2.65	2.77	2.61	2.72	14606748	93887920.00
2015/09/21	2.65	2.90	2.65	2.87	16063538	106578848.00
2015/09/22	2.86	3.01	2.81	2.93	23495316	158278656.00
2015/09/23	2.85	2.86	2.66	2.68	20653309	134727552.00
2015/09/24	2.69	2.83	2.69	2.76	13148768	85860168.00
2015/09/25	2.74	2.83	2.59	2.69	14771243	95520336.00
2015/09/28	2.71	2.73	2.61	2.70	9562267	61160536.00
2015/09/29	2.64	2.65	2.49	2.53	15160494	94395056.00
2015/09/30	2.57	2.58	2.51	2.53	8227828	51061588.00
2015/10/08	2.69	2.87	2.65	2.67	19051604	122948048.00
2015/10/09	2.68	2.87	2.65	2.83	26093559	170926512.00
2015/10/12	2.83	3.07	2.81	3.00	34964704	239084848.00
2015/10/13	2.94	2.97	2.87	2.94	27411585	185473728.00
2015/10/14	2.92	3.05	2.87	2.89	25750783	175789072.00
2015/10/15	2.87	3.00	2.85	2.99	22824892	155447104.00
2015/10/16	3.00	3.05	2.91	3.04	27277794	187621328.00
2015/10/19	3.06	3.10	2.99	3.06	36601748	254459280.00
2015/10/20	3.06	3.19	3.04	3.17	40973563	289265120.00
2015/10/21	3.17	3.18	2.71	2.78	42552056	293090208.00
2015/10/22	2.80	3.22	2.75	3.22	59483379	414625152.00
